_delay_event_for_loading_slots	_delay_event_for_loading_slots( ${1:arg1} )	_delay_event_for_loading_slots( arg1 )	Undocumented
_get_engine_par	_get_engine_par( ${1:parameter}, ${2:group}, ${3:slot}, ${4:generic} )	_get_engine_par( parameter, group, slot, generic )	returns the value of a specific engine parameter
_get_engine_par_disp	_get_engine_par_disp( ${1:parameter}, ${2:group}, ${3:slot}, ${4:generic}<br>  )	_get_engine_par_disp( parameter, group, slot, generic )	returns the displayed string of a specific engine parameter
_get_folder	_get_folder( ${1:path-variable} )	_get_folder( path-variable )	returns the path specified with the built-in path variable
_load_ir_sample	_load_ir_sample( ${1:file-path}, ${2:slot}, ${3:generic} )	_load_ir_sample( file-path, slot, generic )	loads an impulse response sample into KONTAKT's convolution effect
_num_slices	_num_slices( ${1:arg1} )	_num_slices( arg1 )	Undocumented
_pgs_create_key	_pgs_create_key( ${1:key-id}, ${2:size} )	_pgs_create_key( key-id, size )	It is possible to send and receive values from one script to another,<br>  discarding the usual left-to-right order by using the Program Global Storage<br>  (PGS) commands. PGS is a dynamic memory that can be read/written by any<br>  script.
_pgs_get_key_val	_pgs_get_key_val( ${1:key-id}, ${2:index} )	_pgs_get_key_val( key-id, index )	It is possible to send and receive values from one script to another,<br>  discarding the usual left-to-right order by using the Program Global Storage<br>  (PGS) commands. PGS is a dynamic memory that can be read/written by any<br>  script.
_pgs_key_exists	_pgs_key_exists( ${1:key-id} )	_pgs_key_exists( key-id )	It is possible to send and receive values from one script to another,<br>  discarding the usual left-to-right order by using the Program Global Storage<br>  (PGS) commands. PGS is a dynamic memory that can be read/written by any<br>  script.
_pgs_set_key_val	_pgs_set_key_val( ${1:key-id}, ${2:index}, ${3:value} )	_pgs_set_key_val( key-id, index, value )	It is possible to send and receive values from one script to another,<br>  discarding the usual left-to-right order by using the Program Global Storage<br>  (PGS) commands. PGS is a dynamic memory that can be read/written by any<br>  script.
_read_persistent_var	_read_persistent_var( ${1:variable} )	_read_persistent_var( variable )	instantly reloads the value of a variable that was saved via the<br>  make_persistent()command
_reset_rls_trig_counter	_reset_rls_trig_counter( ${1:note} )	_reset_rls_trig_counter( note )	dresets the release trigger counter (used by the release trigger system<br>  script)
_set_engine_par	_set_engine_par( ${1:parameter}, ${2:value}, ${3:group}, ${4:slot},<br>  ${5:generic} )	_set_engine_par( parameter, value, group, slot, generic )	control automatable KONTAKT parameters and bypass buttons
_set_skin_offset	_set_skin_offset( ${1:offset-in-pixel} )	_set_skin_offset( offset-in-pixel )	offsets the chosen background picture file by the specified number of<br>  pixels
_slice_idx_loop_end	_slice_idx_loop_end( ${1:zone-ID}, ${2:loop-index} )	_slice_idx_loop_end( zone-ID, loop-index )	returns the index number of the slice at the loop end
_slice_idx_loop_start	_slice_idx_loop_start( ${1:zone-ID}, ${2:loop-index} )	_slice_idx_loop_start( zone-ID, loop-index )	returns the index number of the slice at the loop start
_slice_length	_slice_length( ${1:zone-ID}, ${2:slice-index} )	_slice_length( zone-ID, slice-index )	returns the length in microseconds of the specified slice with respect to<br>  the current tempo
_slice_loop_count	_slice_loop_count( ${1:zone-ID}, ${2:loop-index} )	_slice_loop_count( zone-ID, loop-index )	returns the loop count of the specified loop
_slice_start	_slice_start( ${1:zone-ID}, ${2:slice-index} )	_slice_start( zone-ID, slice-index )	returns the absolute start point of the specified slice in microseconds,<br>  independent of the current tempo
_will_never_terminate	_will_never_terminate( ${1:event-id} )	_will_never_terminate( event-id )
abs	abs( ${1:x} )	abs( x )	Absolute value
acos	acos( ${1:x} )	acos( x )	arccosine function
add_menu_item	add_menu_item( ${1:variable}, ${2:text}, ${3:value} )	add_menu_item( variable, text, value )	create a menu entry
add_text_line	add_text_line( ${1:variable}, ${2:text} )	add_text_line( variable, text )	add a new text line in the specified label without erasing existing text
allow_group	allow_group( ${1:group-index} )	allow_group( group-index )	allows the specified group, i.e. makes it available for playback
array_equal	array_equal( ${1:array-variable}, ${2:array-variable} )	array_equal( array-variable, array-variable )	checks the values of two arrays, true if all values are equal, false if<br>  not
asin	asin( ${1:x} )	asin( x )	arcsine (inverse sine function)
atan	atan( ${1:x} )	atan( x )	arctangent (inverse tangent function)
attach_level_meter	attach_level_meter( ${1:ui-ID}, ${2:group}, ${3:slot}, ${4:channel},<br>  ${5:bus} )	attach_level_meter( ui-ID, group, slot, channel, bus )	attach a level meter to a certain position within the instrument to read<br>  volume data
attach_zone	attach_zone( ${1:variable}, ${2:zone-id}, ${3:flags} )	attach_zone( variable, zone-id, flags )	connects the corresponding zone to the waveform so that it shows up<br>  within the display
by_marks	by_marks( ${1:bit-mask} )	by_marks( bit-mask )	a user defined group of events (or event IDs)
by_track	by_track( ${1:track} )	by_track( track )	can be used to group events by their track number
cbrt	cbrt( ${1:x} )	cbrt( x )	Cube root function	7.0.0
cc_delivery_request	cc_delivery_request( ${1:arg1} )	cc_delivery_request( arg1 )	Undocumented
ceil	ceil( ${1:x} )	ceil( x )	ceiling (round up) ceil(2.3) = 3.0
change_listener_par	change_listener_par( ${1:signal-type}, ${2:parameter} )	change_listener_par( signal-type, parameter )	changes the parameters of the on listener callback. Can be used in every<br>  callback.
change_note	change_note( ${1:ID-number}, ${2:note-number} )	change_note( ID-number, note-number )	change the note number of a specific note event
change_pan	change_pan( ${1:ID-number}, ${2:panorama}, ${3:relative-bit} )	change_pan( ID-number, panorama, relative-bit )	change the pan position of a specific note event
change_time_with_pitch	change_time_with_pitch( ${1:arg1} )	change_time_with_pitch( arg1 )	Undocumented
change_tune	change_tune( ${1:ID-number}, ${2:tune-amount}, ${3:relative-bit} )	change_tune( ID-number, tune-amount, relative-bit )	change the tuning of a specific note event in millicent
change_velo	change_velo( ${1:ID-number}, ${2:velocity} )	change_velo( ID-number, velocity )	change the velocity of a specific note event
change_vol	change_vol( ${1:ID-number}, ${2:volume}, ${3:relative-bit} )	change_vol( ID-number, volume, relative-bit )	change the volume of a specific note event in millidecibel
cos	cos( ${1:x} )	cos( x )	cosine function
dec	dec( ${1:x} )	dec( x )	decrement an expression by 1 (x - 1)
delete_event_mark	delete_event_mark( ${1:ID-number}, ${2:bit-mark} )	delete_event_mark( ID-number, bit-mark )	delete an event mark, i.e. ungroup the specified event from an event<br>  group
detect_drum_type	detect_drum_type( ${1:zone-id}, ${2:drum-type-result} )	detect_drum_type( zone-id, drum-type-result )	Assigns <drum-type-result> a $NI_DETECT_DRUM_TYPE tag describing<br>  the drum type of an audio sample.	6.2.0
detect_instrument_type	detect_instrument_type( ${1:zone-id}, ${2:instrument-type-result} )	detect_instrument_type( zone-id, instrument-type-result )	Assigns <drum-type-result> a $NI_DETECT_INSTRUMENT_TYPE tag<br>  describing the in- strument type of an audio sample.	6.3.0
detect_key	detect_key( ${1:zone-id}, ${2:key-result} )	detect_key( zone-id, key-result )	Assigns <key-result> a $NI_DETECT_KEY tag describing the musical<br>  key of the audio sample. If detection fails, the function will return<br>  $NI_DETECT_KEY_INVALID.	8.0.0
detect_loudness	detect_loudness( ${1:zone-id}, ${2:loudness-result} )	detect_loudness( zone-id, loudness-result )	Returns a real value representing the loudness of an audio sample in dB.	6.2.0
detect_peak	detect_peak( ${1:zone-id}, ${2:peak-result} )	detect_peak( zone-id, peak-result )	Returns a real value representing peak level of an audio sample in dB.	6.2.0
detect_pitch	detect_pitch( ${1:zone-id}, ${2:pitch-result} )	detect_pitch( zone-id, pitch-result )	Returns a real value representing the fundamental frequency of an audio<br>  sample, in semi- tones and cents	6.2.0
detect_rms	detect_rms( ${1:zone-id}, ${2:rms-result} )	detect_rms( zone-id, rms-result )	Returns a real value representing the RMS level of an audio sample in<br>  dB. 	6.2.0
detect_sample_type	detect_sample_type( ${1:zone-id}, ${2:sample-type-result} )	detect_sample_type( zone-id, sample-type-result )	Assigns <sample-type-result> a $NI_DETECT_SAMPLE_TYPE tag<br>  describing the whether an audio sample is a drum or an instrument.	6.2.0
detect_tempo	detect_tempo( ${1:zone-id}, ${2:tempo-result} )	detect_tempo( zone-id, tempo-result )	Returns a real value representing the detected tempo of the audio sample,<br>  in BPM. If detection fails, the function will return<br>  ~NI_DETECT_TEMPO_INVALID.	8.0.0
disable_logging	disable_logging( ${1:type} )	disable_logging( type )	Quickly disabling emission of messages, warnings or watched<br>  variable<br>    events to both the Kontakt Status Bar<br>    $NI_LOG_MESSAGE, $NI_LOG_WARNING, $NI_LOG_WATCHING
disallow_group	disallow_group( ${1:group-index} )	disallow_group( group-index )	disallows the specified group, i.e. makes it unavailable for playback
dont_use_machine_mode	dont_use_machine_mode( ${1:ID-number} )	dont_use_machine_mode( ID-number )	play the specified event in sampler mode
event_status	event_status( ${1:ID-number} )	event_status( ID-number )	retrieve the status of a particular note event (or MIDI event in the<br>  multi script)
exit	exit	exit	immediately stops a callback or exits a function
