!NI_DND_ITEMS_ARRAY	true	Built-in Variable: !NI_DND_ITEMS_ARRAY	N/A
!NI_DND_ITEMS_AUDIO	true	Built-in Variable: !NI_DND_ITEMS_AUDIO	N/A
!NI_DND_ITEMS_MIDI	true	Built-in Variable: !NI_DND_ITEMS_MIDI	N/A
$ALL_EVENTS	true	Built-in Variable: $ALL_EVENTS	N/A
$ALL_GROUPS	true	Built-in Variable: $ALL_GROUPS	N/A
$BUS_IDX	true	Built-in Variable: $BUS_IDX	N/A
$CC_NUM	true	Built-in Variable: $CC_NUM	N/A
$CHANNEL_L	true	Built-in Variable: $CHANNEL_L	N/A
$CHANNEL_R	true	Built-in Variable: $CHANNEL_R	N/A
$CONTROL_PAR_ACTIVE_INDEX	true	Built-in Variable: $CONTROL_PAR_ACTIVE_INDEX	N/A
$CONTROL_PAR_ALLOW_AUTOMATION	true	Built-in Variable: $CONTROL_PAR_ALLOW_AUTOMATION	N/A
$CONTROL_PAR_AUTOMATION_ID	true	Built-in Variable: $CONTROL_PAR_AUTOMATION_ID	N/A
$CONTROL_PAR_AUTOMATION_NAME	true	Built-in Variable: $CONTROL_PAR_AUTOMATION_NAME	N/A
$CONTROL_PAR_BAR_COLOR	true	Built-in Variable: $CONTROL_PAR_BAR_COLOR	N/A
$CONTROL_PAR_BASEPATH	true	Built-in Variable: $CONTROL_PAR_BASEPATH	N/A
$CONTROL_PAR_BG_ALPHA	true	Built-in Variable: $CONTROL_PAR_BG_ALPHA	N/A
$CONTROL_PAR_BG_COLOR	true	Built-in Variable: $CONTROL_PAR_BG_COLOR	N/A
$CONTROL_PAR_COLUMN_WIDTH	true	Built-in Variable: $CONTROL_PAR_COLUMN_WIDTH	N/A
$CONTROL_PAR_CURSOR_PICTURE	true	Built-in Variable: $CONTROL_PAR_CURSOR_PICTURE	N/A
$CONTROL_PAR_DEFAULT_VALUE	true	Built-in Variable: $CONTROL_PAR_DEFAULT_VALUE	N/A
$CONTROL_PAR_DISABLE_TEXT_SHIFTING	true	Built-in Variable: $CONTROL_PAR_DISABLE_TEXT_SHIFTING	N/A
$CONTROL_PAR_DND_ACCEPT_ARRAY	true	Built-in Variable: $CONTROL_PAR_DND_ACCEPT_ARRAY	N/A
$CONTROL_PAR_DND_ACCEPT_AUDIO	true	Built-in Variable: $CONTROL_PAR_DND_ACCEPT_AUDIO	N/A
$CONTROL_PAR_DND_BEHAVIOUR	true	Built-in Variable: $CONTROL_PAR_DND_BEHAVIOUR	N/A
$CONTROL_PAR_DND_MIDI	true	Built-in Variable: $CONTROL_PAR_DND_MIDI	N/A
$CONTROL_PAR_FILEPATH	true	Built-in Variable: $CONTROL_PAR_FILEPATH	N/A
$CONTROL_PAR_FILE_TYPE	true	Built-in Variable: $CONTROL_PAR_FILE_TYPE	N/A
